Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,101.660004,103.790001,101.660004,103.790001,98.683243,4724200
2022-12-13,104.599998,104.830002,100.790001,101.190002,96.211174,6061800
2022-12-14,101.379997,101.879997,99.510002,100.680000,95.726257,5129900
2022-12-15,99.389999,99.629997,97.099998,97.599998,92.797798,7073200
2022-12-16,96.529999,96.760002,94.550003,95.449997,90.753586,11126600
2022-12-19,95.379997,96.309998,94.669998,95.050003,90.373276,5159100
2022-12-20,94.870003,95.400002,94.139999,95.000000,90.325722,5301200
2022-12-21,95.589996,95.620003,93.010002,94.120003,89.489037,6278400
2022-12-22,93.519997,94.040001,92.440002,93.400002,88.804459,5384100
2022-12-23,93.309998,94.209999,93.070000,93.559998,88.956581,7307000
2022-12-27,93.110001,93.320000,92.129997,93.019997,88.443146,3977400
2022-12-28,93.400002,93.690002,92.580002,92.760002,88.195953,3807000
2022-12-29,93.209999,93.750000,92.919998,93.449997,88.851982,3297200
2022-12-30,93.250000,93.449997,92.489998,93.190002,88.604782,3568500
2023-01-03,91.720001,93.050003,91.040001,92.910004,88.338570,6543500
2023-01-04,93.279999,93.410004,91.660004,91.980003,87.454323,7330400
2023-01-05,91.709999,92.169998,90.430000,90.449997,85.999611,8441600
2023-01-06,91.330002,91.930000,90.980003,91.599998,87.093018,8957500
2023-01-09,92.139999,93.250000,91.419998,91.489998,86.988426,10415900
2023-01-10,90.849998,91.370003,88.500000,90.650002,86.189774,10828300
2023-01-11,91.559998,91.690002,89.349998,89.750000,85.334053,10221100
2023-01-12,89.790001,89.970001,89.029999,89.180000,84.792091,10466200
2023-01-13,88.699997,90.400002,88.510002,89.919998,85.495682,10209500
2023-01-17,90.099998,90.559998,89.110001,89.370003,84.972755,12365300
2023-01-18,89.589996,89.750000,88.029999,88.199997,83.860313,9495000
2023-01-19,87.709999,88.309998,87.050003,87.480003,83.750221,11430400
2023-01-20,87.480003,87.489998,86.750000,87.000000,83.290672,13008000
2023-01-23,87.000000,87.449997,86.750000,87.199997,83.482140,14720100
2023-01-24,86.480003,86.830002,85.919998,86.019997,82.352455,14708600
2023-01-25,85.389999,86.010002,84.820000,85.750000,82.093971,18389700
2023-01-26,86.459999,87.760002,86.029999,87.660004,83.922546,9263400
2023-01-27,87.750000,88.120003,87.000000,87.779999,84.037422,7480900
2023-01-30,87.889999,88.389999,86.989998,87.050003,83.338539,8540000
2023-01-31,87.500000,88.500000,87.070000,88.220001,84.458672,8189900
2023-02-01,88.010002,88.180000,86.680000,87.489998,83.759789,7420300
2023-02-02,86.540001,86.970001,85.459999,86.180000,82.505646,11244300
2023-02-03,86.699997,87.599998,85.610001,85.769997,82.113121,7256700
2023-02-06,85.889999,86.589996,85.199997,85.250000,81.615295,8319400
2023-02-07,85.150002,86.629997,84.599998,85.980003,82.314178,15264800
2023-02-08,87.889999,90.250000,87.750000,88.959999,85.167114,17068700
2023-02-09,89.330002,90.620003,89.199997,90.070000,86.229790,10703400
2023-02-10,90.339996,90.599998,89.500000,89.660004,85.837273,7718500
2023-02-13,89.580002,90.580002,89.139999,89.870003,86.038315,7818900
2023-02-14,89.870003,89.989998,88.139999,88.519997,84.745872,7497400
2023-02-15,87.919998,88.470001,87.739998,88.349998,84.583107,6435700
2023-02-16,87.470001,88.620003,87.349998,87.970001,84.219315,8317900
2023-02-17,88.110001,88.750000,87.870003,88.580002,84.803322,7320800
2023-02-21,88.110001,88.589996,87.260002,87.620003,83.884247,7245900
2023-02-22,87.550003,87.760002,86.949997,87.209999,83.491730,5614400
2023-02-23,87.410004,87.900002,86.720001,86.870003,83.166222,7283000
2023-02-24,86.449997,86.690002,85.470001,85.769997,82.113121,9271000
2023-02-27,86.040001,86.279999,84.629997,84.839996,81.222778,7933300
2023-02-28,84.839996,84.940002,83.139999,83.540001,79.978210,9559100
2023-03-01,82.900002,83.260002,81.980003,82.470001,78.953812,7444400
2023-03-02,82.050003,82.389999,81.360001,81.430000,77.958160,10094700
2023-03-03,81.949997,81.959999,81.220001,81.809998,78.321953,12145900
2023-03-06,82.000000,83.000000,81.650002,82.970001,79.432510,10156100
2023-03-07,82.650002,83.000000,80.239998,80.449997,77.019943,9669600
2023-03-08,80.330002,80.650002,79.529999,79.809998,76.407227,6657000
2023-03-09,79.970001,80.070000,76.660004,77.000000,73.717041,11040400
2023-03-10,77.010002,78.160004,76.870003,77.099998,73.812767,7852500
2023-03-13,76.480003,77.620003,75.900002,76.279999,73.027740,7165400
2023-03-14,76.760002,76.889999,74.790001,75.559998,72.338432,8180500
2023-03-15,74.900002,75.440002,74.519997,75.400002,72.185265,7989900
2023-03-16,75.059998,76.150002,74.580002,75.830002,72.596924,6639100
2023-03-17,75.849998,75.949997,73.910004,74.370003,71.199173,16807800
2023-03-20,74.629997,75.589996,74.629997,74.980003,71.783173,6191000
2023-03-21,75.510002,75.660004,74.750000,75.559998,72.338432,6779800
2023-03-22,75.730003,76.300003,74.389999,74.410004,71.237473,6806000
2023-03-23,74.220001,74.220001,72.110001,72.370003,69.284447,9031800
2023-03-24,72.330002,73.559998,72.129997,73.260002,70.136505,6061500
2023-03-27,74.129997,74.559998,73.320000,73.570000,70.433281,5587500
2023-03-28,73.599998,74.260002,72.900002,73.120003,70.002472,6457100
2023-03-29,73.680000,74.110001,73.160004,74.089996,70.931107,8064000
2023-03-30,75.150002,75.230003,74.040001,74.699997,71.515091,6523500
2023-03-31,74.769997,74.889999,74.080002,74.309998,71.141724,10515000
2023-04-03,75.029999,76.580002,74.750000,76.089996,72.845833,9742200
2023-04-04,75.989998,76.540001,75.620003,76.250000,72.999016,6469700
2023-04-05,76.389999,77.809998,76.099998,77.750000,74.435066,7645500
2023-04-06,77.949997,78.480003,77.160004,77.540001,74.234016,8778300
2023-04-10,76.949997,77.300003,75.769997,76.040001,72.797974,9299100
2023-04-11,76.440002,76.959999,76.110001,76.290001,73.037308,8746600
2023-04-12,76.339996,76.660004,74.790001,74.919998,71.725716,9602300
2023-04-13,74.940002,75.919998,74.419998,75.419998,72.204399,8439700
2023-04-14,75.779999,75.800003,74.339996,74.699997,71.515091,7434600
2023-04-17,74.250000,75.940002,74.250000,75.800003,72.568192,11724700
2023-04-18,77.070000,77.190002,75.440002,76.139999,72.893700,9382900
2023-04-19,75.250000,75.260002,73.940002,74.209999,71.045990,8784300
2023-04-20,73.250000,73.809998,72.930000,73.250000,70.703331,8579500
